x,y
1233.2331246598847,1366.719748566329
1232.3752217776669,1367.1941455827907
1232.3752217776669,1367.1941455827907
1231.517318895449,1367.6685425992525
1231.517318895449,1367.6685425992525
1231.517318895449,1367.6685425992525
1230.6594160132313,1368.1429396157146
1230.6594160132313,1368.1429396157146
1229.8015131310135,1368.6173366321764
1228.9436102487957,1369.0917336486382
1228.085707366578,1369.5661306651
1227.2278044843601,1370.0405276815618
1226.3699016021424,1370.5149246980236
1224.6540958377068,1371.4637187309474
1223.796192955489,1371.9381157474093
1224.4709424461355,1375.2560987616012
1223.5969499592218,1375.7361254914802
1222.7229574723083,1376.2161522213592
1221.8489649853946,1376.696178951238
1220.9749724984808,1377.176205681117
1220.1009800115673,1377.656232410996
1219.2269612379444,1378.136211267739
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1217.5598101378432,1379.0490903870468
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
1218.3936025792464,1378.5930469265581
