timestamp,x,y,total_dsi
1542193242.148428,784.0520815953848,2587.526477715104,72396.03760895238
1542193242.64884,785.6718066282533,2583.821580392542,199850.54773581593
1542193243.149296,787.1420522629803,2580.190678645583,71256.24367877365
1542193243.648589,788.4520914220707,2576.534651033481,178126.39118197406
1542193244.149025,789.55901169809,2572.8846920286583,42931.17649401029
1542193244.698117,790.5938343630223,2568.771307882048,13730.150624035392
1542193245.198532,791.3255431148802,2564.962609845217,10707.136201598796
1542193245.697854,791.8556476912424,2561.263766629113,9824.79925480804
1542193246.147974,792.15517247607,2558.085324354555,9282.994237917002
1542193246.64841,792.35123800669,2554.4780567708985,9690.5766910374
1542193247.14887,792.3875535313437,2550.888766566643,6909.771605907115
1542193247.698477,792.2410795124695,2546.969086494853,13583.472126179022
1542193248.198346,791.9470784895343,2543.4922377251555,33795.4601263067
1542193248.698253,791.5512044903498,2540.205736303431,304471.2629246983
1542193249.147794,791.1196540079218,2537.433578886497,234751.66948375053
1542193249.548141,790.6843376248435,2535.0961609340025,98722.35068398503
1542193250.048001,790.0975047200536,2532.413122619621,84633.20556087482
1542193250.547883,789.4867553708391,2530.037488517674,208214.07264317886
1542193251.048312,788.8697049081202,2527.866498889456,174163.7997583642
1542193251.447606,788.3910596437877,2526.303707437828,114707.26178166171
1542193251.947993,787.8275720695488,2524.6225563805037,93046.45772857836
1542193252.447866,787.3086395789419,2523.1706638866026,130601.80093280491
1542193252.947206,786.8359808921314,2521.928059957051,351690.2699687117
1542193253.447056,786.356757850079,2520.732939521336,864225.1126550942
1542193253.897766,785.8473072781194,2519.556327722539,336075.5103270892
1542193254.397602,785.209789034398,2518.189729136828,141833.0349224093
1542193254.897459,784.4563730339421,2516.700265701878,80810.21842734118
1542193255.397333,783.563645267895,2515.042286659429,62195.158403318
1542193255.897231,782.6631915345679,2513.474042257966,61411.93999518258
1542193256.397085,781.7372068863851,2511.9468504033835,65076.14565497765
1542193256.897519,780.8414986901882,2510.505557841729,65534.94736994345
1542193257.398496,780.0127922032302,2509.1873915884053,76212.15021262436
1542193257.898382,779.2414597095576,2507.947249214535,79376.34853514431
1542193258.448013,778.4878199285959,2506.70032497073,92826.9830646136
1542193258.947891,777.9380283232149,2505.7256629523936,125706.78159298215
1542193259.448369,777.5121346746209,2504.907749792684,181625.11268705165
1542193259.897905,777.2036986758917,2504.274891285288,261074.96113337108
1542193260.39721,776.9518965364525,2503.7314487704853,352336.24733257084
1542193260.89709,776.814196885723,2503.4252173937816,321807.21705802804
