vehicle_id,timestamp,t,x,y
ego_vehicle,1542194200.147672,1542194200.0,786.7502841334915,2366.1360540867277
ego_vehicle,1542194200.648112,1542194200.5,787.3720481676567,2368.5255602264674
ego_vehicle,1542194201.148551,1542194201.0,787.9618764945837,2370.818144445567
ego_vehicle,1542194201.648437,1542194201.5,788.5361486881693,2373.0655444207073
ego_vehicle,1542194202.148286,1542194202.0,789.0803704582338,2375.2525672332295
ego_vehicle,1542194202.648736,1542194202.5,789.5724127003541,2377.3173466070443
ego_vehicle,1542194203.148605,1542194203.0,789.9868445726077,2379.235644344295
ego_vehicle,1542194203.647944,1542194203.5,790.3483419769859,2381.015148208984
ego_vehicle,1542194204.147792,1542194204.0,790.7023057544411,2382.897170953397
ego_vehicle,1542194204.647683,1542194204.5,791.0085276621198,2384.7541486117443
ego_vehicle,1542194205.148094,1542194205.0,791.2634316669987,2386.671664342877
ego_vehicle,1542194205.647972,1542194205.5,791.469737035131,2388.58302710847
ego_vehicle,1542194206.147318,1542194206.0,791.6206994596205,2390.5298223852387
ego_vehicle,1542194206.647185,1542194206.5,791.73655256648,2392.4929459631903
ego_vehicle,1542194207.147612,1542194207.0,791.8089014280031,2394.4571181948404
ego_vehicle,1542194207.697797,1542194207.5,791.8218648899726,2396.650899952385
ego_vehicle,1542194208.197688,1542194208.0,791.7768141597303,2398.7518217923157
ego_vehicle,1542194208.698113,1542194208.5,791.6757623142175,2400.739671409083
ego_vehicle,1542194209.198534,1542194209.0,791.5428664843257,2402.702979028152
ego_vehicle,1542194209.698412,1542194209.5,791.3864409229295,2404.6096230244916
ego_vehicle,1542194210.19829,1542194210.0,791.2181181598842,2406.289825507775
ego_vehicle,1542194210.698156,1542194210.5,791.0470003517721,2407.754442836019
ego_vehicle,1542194211.198062,1542194211.0,790.8438978762024,2409.2537858335177
ego_vehicle,1542194211.697966,1542194211.5,790.5834334789497,2410.861750107586
ego_vehicle,1542194212.197804,1542194212.0,790.2404903516151,2412.7376553470244
ego_vehicle,1542194212.697659,1542194212.5,789.8212988259652,2414.765205560076
ego_vehicle,1542194213.198186,1542194213.0,789.3024848557247,2416.9367669178528
ego_vehicle,1542194213.697967,1542194213.5,788.6881003567587,2419.269176298564
ego_vehicle,1542194214.197843,1542194214.0,787.9164148834216,2421.834896976787
ego_vehicle,1542194214.697718,1542194214.5,786.9655461676803,2424.550548664761
ego_vehicle,1542194215.147859,1542194215.0,785.9622669085456,2427.0700935611158
ego_vehicle,1542194215.648264,1542194215.5,784.7177029618717,2429.93764384823
ego_vehicle,1542194216.148148,1542194216.0,783.3533894651468,2432.924811670053
ego_vehicle,1542194216.64806,1542194216.5,781.9490150250615,2435.853031549316
ego_vehicle,1542194217.197678,1542194217.0,780.3939282283955,2438.9180404474373
ego_vehicle,1542194217.697582,1542194217.5,778.9539183581937,2441.6251865285
ego_vehicle,1542194218.197422,1542194218.0,777.5847186638994,2444.1383642216174
ego_vehicle,1542194218.69785,1542194218.5,776.2606783423553,2446.5397951770283
ego_vehicle,1542194219.19829,1542194219.0,774.9885442714242,2448.8389018567614
2c385aaa812147d2b1712a4cda4bd5ba,1542194200.147672,1542194200.0,790.865,2405.485
2c385aaa812147d2b1712a4cda4bd5ba,1542194200.648112,1542194200.5,790.753,2405.809
2c385aaa812147d2b1712a4cda4bd5ba,1542194201.148551,1542194201.0,790.75,2406.087
2c385aaa812147d2b1712a4cda4bd5ba,1542194201.648437,1542194201.5,790.705,2406.442
2c385aaa812147d2b1712a4cda4bd5ba,1542194202.148286,1542194202.0,790.631,2406.965
2c385aaa812147d2b1712a4cda4bd5ba,1542194202.648736,1542194202.5,790.537,2407.684
2c385aaa812147d2b1712a4cda4bd5ba,1542194203.148605,1542194203.0,790.414,2408.399
2c385aaa812147d2b1712a4cda4bd5ba,1542194203.647944,1542194203.5,790.261,2409.435
2c385aaa812147d2b1712a4cda4bd5ba,1542194204.147792,1542194204.0,790.041,2410.805
2c385aaa812147d2b1712a4cda4bd5ba,1542194204.647683,1542194204.5,789.692,2412.485
2c385aaa812147d2b1712a4cda4bd5ba,1542194205.148094,1542194205.0,789.222,2414.544
2c385aaa812147d2b1712a4cda4bd5ba,1542194205.647972,1542194205.5,788.667,2416.814
2c385aaa812147d2b1712a4cda4bd5ba,1542194206.147318,1542194206.0,788.068,2419.322
2c385aaa812147d2b1712a4cda4bd5ba,1542194206.647185,1542194206.5,787.198,2422.045
