x,y
1352.488197595183,1006.9420015471314
1349.5863328513763,1009.4758985225349
1347.409976808813,1011.3763699547746
1345.2056525111755,1013.2994795531818
1342.9462283410521,1015.2688241671713
1340.6868041709288,1017.2381687811608
1339.1805213908465,1018.5510651904871
1337.6742386107642,1019.8639615998134
1336.1679558306819,1021.1768580091398
1334.6616730505996,1022.4897544184661
1333.1553902705175,1023.8026508277924
1331.6491074904352,1025.1155472371188
1330.142824710353,1026.428443646445
1329.3896833203119,1027.0848918511083
1328.6365419302706,1027.7413400557714
1327.8834005402296,1028.3977882604345
1327.1302591501883,1029.0542364650978
1326.3771177601473,1029.710684669761
1325.6239763701062,1030.367132874424
1324.870834980065,1031.0235810790873
1324.870834980065,1031.0235810790873
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
1324.117693590024,1031.6800292837504
