timestamp,x,y,total_dsi
1534867095.448234,1349.7691106022876,1009.3622171650544,495365.89706337603
1534867095.898347,1347.4941639038911,1011.312475489161,490227.84921140684
1534867096.397682,1345.1483236670747,1013.3352521254868,451351.3642793942
1534867096.898093,1342.9933416270908,1015.2086990781884,420669.3821339232
1534867097.397971,1340.8763062593916,1017.036190577087,436448.85624135006
1534867097.797758,1339.303714527893,1018.3987101886966,452081.1016625761
1534867098.29765,1337.5063437859192,1019.9570330725526,484752.9166394428
1534867098.798104,1335.8299187025818,1021.3996518967914,590188.6806190609
1534867099.297954,1334.258969730762,1022.7601554406328,788454.2038511782
1534867099.798383,1332.7967371288928,1024.0084681736917,1030122.4735255926
1534867100.298809,1331.4931659710342,1025.123658989081,1010865.2473551821
1534867100.798706,1330.366265655785,1026.0847767832588,782860.4243808856
1534867101.298564,1329.3140347440542,1026.9923528328372,632904.5383649237
1534867101.698403,1328.5570362375383,1027.6472534171264,540519.6243389443
1534867102.14846,1327.816022432506,1028.2899777341026,484534.1039679083
1534867102.698674,1326.9600890644574,1029.0301241646962,485385.33721759217
1534867103.1991,1326.22027769162,1029.67653532502,513485.8543208533
1534867103.699549,1325.553800996841,1030.257045853389,534142.3191398616
1534867104.199405,1324.994278156007,1030.743429453713,532457.1103833825
1534867104.699299,1324.5583150837654,1031.1242388921237,489333.47161891876
1534867105.199149,1324.3125362701944,1031.3450733824898,391375.95017856354
1534867105.699038,1324.2123505447787,1031.442876428304,314776.64269052306
1534867106.19893,1324.2140138718785,1031.4528113767242,273854.44092813856
1534867106.698789,1324.226139067746,1031.452664230987,273570.69741186564
1534867107.199135,1324.2304246703704,1031.4573404181272,260412.49086062962
1534867107.699128,1324.2337522024504,1031.4613993788744,254668.36776432372
1534867108.198959,1324.2365753066254,1031.4647591626465,255914.2774682405
1534867108.698852,1324.238956951844,1031.4675900129605,251266.08502287543
1534867109.19863,1324.2409697971152,1031.4699876589568,247987.3909626008
1534867109.698045,1324.2426801677416,1031.472023684002,248334.19858353026
1534867110.197943,1324.2441423307032,1031.4737635507036,253923.43434162776
1534867110.697785,1324.245393471941,1031.4752508780612,254111.2144374212
1534867111.198773,1324.2464684079166,1031.4765275307168,253240.9308787205
1534867111.6992,1324.247387007897,1031.477622482843,254707.5025847178
1534867112.149316,1324.248102186208,1031.4784735988046,256632.54545036968
1534867112.649184,1324.2487917001956,1031.479291038577,258580.46599019758
1534867113.149054,1324.2493830755686,1031.4799940551632,259975.43924146038
1534867113.648936,1324.2498905811372,1031.480599622949,261953.7860711418
