vehicle_id,timestamp,t,x,y,delta_x,delta_y,front_vehicle,stop_line_token,stop_line_need_stop,x_new,y_new,PET_origin,PET_MPC
ego_vehicle,1535730594.896682,1535730595.0,1233.4862238706214,1366.8337902047424,0.0,0.0,0,,,1233.4862238706214,1366.8337902047424,7.274582340457758,7.274582340457469
ego_vehicle,1535730595.396558,1535730595.5,1232.658719261401,1367.2928186054962,0.0,0.0,0,,,1232.731126278597,1367.404139726964,11.998876036597503,4.374725437329299
ego_vehicle,1535730595.896427,1535730596.0,1232.160679970289,1367.575037845029,0.0,0.0,0,,,1231.4773080357247,1368.351189013478,19.257666086417792,3.1507213970425325
ego_vehicle,1535730596.398694,1535730596.5,1231.848285552156,1367.7649317738355,0.0,0.0,0,,,1229.8169411580925,1369.605317572982,29.872629128660215,2.7493280061869214
ego_vehicle,1535730596.898398,1535730597.0,1231.6287289209752,1367.8931623846038,0.0,0.0,0,,,1227.9978468496115,1370.979338071361,45.55604704980195,2.504282368463806
ego_vehicle,1535730597.398819,1535730597.5,1231.4740292676029,1367.9852793424575,0.0,0.0,0,,,1226.1242443139454,1372.3945303886692,27.89509312687932,2.311434770192312
ego_vehicle,1535730597.949567,1535730598.0,1231.2000928911616,1368.145117424383,0.0,0.0,0,,,1224.238166567971,1373.8191456339723,22.534696556211284,2.245945467573091
ego_vehicle,1535730598.448884,1535730598.5,1230.8300686952468,1368.35999192293,0.0,0.0,0,,,1222.3677544951388,1375.231928091982,14.672517829381956,2.1714333407441546
ego_vehicle,1535730598.94876,1535730599.0,1230.230405542697,1368.7239782033553,0.0,0.0,0,,,1220.5331060246483,1376.617697149706,11.305549735618438,2.1067306830713397
ego_vehicle,1535730599.44808,1535730599.5,1229.4375323916893,1369.2460037623991,0.0,0.0,0,,,1218.761746788974,1377.9556618107258,6.4668024720468535,0.4182878696946759
ego_vehicle,1535730599.947967,1535730600.0,1228.4712226715656,1369.951191768445,0.0,0.0,0,,,1217.0830278348844,1379.2236522844375,5.826837710413625,0.2488564585930043
ego_vehicle,1535730600.447847,1535730600.5,1227.4230816954494,1370.79323179131,0.0,0.0,0,,,1215.432696063537,1380.4702010050764,6.104456767357406,0.08131062936411607
ego_vehicle,1535730600.947156,1535730601.0,1226.448817438914,1371.6347542821711,0.0,0.0,0,,,1213.7918755207847,1381.7095655885355,6.535086212988568,0.08722072055673395
