vehicle_id,timestamp,t,x,y,delta_x,delta_y,front_vehicle,stop_line_token,stop_line_need_stop
ego_vehicle,1535573589.89886,1535573590,423.721939445008,1656.21144844426,0,0,0,,
ego_vehicle,1535573590.3993,1535573590.5,424.823465620528,1658.45674257594,0,0,0,,
ego_vehicle,1535573590.8992,1535573591,425.857066504377,1660.63501065753,0,0,0,,
ego_vehicle,1535573591.44992,1535573591.5,426.873761060721,1662.85244165254,0,0,0,,
ego_vehicle,1535573591.95033,1535573592,427.775396961914,1664.85334362677,0,0,0,,
ego_vehicle,1535573592.3999,1535573592.5,428.579014754593,1666.65930394054,0,0,0,,
ego_vehicle,1535573592.90036,1535573593,429.457023433824,1668.59679636966,0,0,0,,
ego_vehicle,1535573593.44885,1535573593.5,430.426986785765,1670.68449833505,0,0,0,,
ego_vehicle,1535573593.94817,1535573594,431.329251206831,1672.55115484944,0,0,0,,
ego_vehicle,1535573594.44861,1535573594.5,432.263772343062,1674.47492252925,0,0,0,,
ego_vehicle,1535573594.94848,1535573595,433.236529773563,1676.50262103706,0,0,0,,
ego_vehicle,1535573595.44835,1535573595.5,434.168600485908,1678.48989594125,0,0,0,,
ego_vehicle,1535573595.89851,1535573596,434.956712697963,1680.21186900051,0,0,0,,
ego_vehicle,1535573596.44814,1535573596.5,435.798438113056,1682.05228931027,0,0,0,,
ego_vehicle,1535573596.94898,1535573597,436.492483134733,1683.50013181442,0,0,0,,
ego_vehicle,1535573597.44896,1535573597.5,437.170711625532,1684.81017892664,0,0,0,,
ego_vehicle,1535573597.94885,1535573598,437.800842803236,1685.99172738683,0,0,0,,
ego_vehicle,1535573598.44872,1535573598.5,438.38365284508,1687.07488090014,0,0,0,,
ego_vehicle,1535573598.95062,1535573599,438.989749331834,1688.21597965252,0,0,0,,
ego_vehicle,1535573599.44903,1535573599.5,439.56108022882,1689.32067097262,0,0,0,,
ego_vehicle,1535573599.94947,1535573600,440.106747120367,1690.4193687734,0,0,0,,
ego_vehicle,1535573600.44939,1535573600.5,440.604019832264,1691.45500500579,0,0,0,,
ego_vehicle,1535573600.89944,1535573601,441.03218081583,1692.37949754944,0,0,0,,
ego_vehicle,1535573601.39934,1535573601.5,441.486337031972,1693.38402890672,0,0,0,,
ego_vehicle,1535573601.89864,1535573602,441.907191651937,1694.31434416273,0,0,0,,
ego_vehicle,1535573602.4483,1535573602.5,442.330297277514,1695.21499683848,0,0,0,,
ego_vehicle,1535573602.94818,1535573603,442.731558774932,1696.05119545348,0,0,0,,
ego_vehicle,1535573603.44805,1535573603.5,443.210376898285,1697.03052331559,0,0,0,,
