x,y
1559.605499146412,1330.1385748187163
1561.4745032079366,1329.2069052884917
1563.971583600641,1327.8415388360906
1566.5706948746833,1326.4222557804426
1569.169806148726,1325.0029727247945
1571.7493967920452,1323.5943490430298
1574.3192271200035,1322.1910550482066
1576.8890574479615,1320.7877610533833
1579.4588877759195,1319.3844670585602
1582.885328213197,1317.513408398796
1585.455158541155,1316.1101144039726
1588.0249888691133,1314.7068204091495
1589.7382090877518,1313.7712910792673
1592.30803941571,1312.3679970844441
1594.877005517094,1310.9631251629241
1598.330525577085,1309.0690075772857
1600.9227037137105,1307.652138188167
1603.5148818503362,1306.2352687990485
1606.1070599869618,1304.81839940993
1608.6992381235875,1303.4015300208114
1611.291416260213,1301.9846606316928
1614.747653775714,1300.0955014462013
1617.3398319123396,1298.6786320570827
1619.9320100489654,1297.2617626679641
1623.388023144994,1295.3721932188841
1626.804801858602,1293.5013174261596
1629.362267867362,1292.1114301921773
1632.778495102887,1290.2698381459352
1635.3445966071345,1288.8959578880476
1638.7664689268431,1287.0648711826432
1641.3328731666247,1285.69155615359
1644.7547454863331,1283.8604694481855
1647.3211497261148,1282.4871544191324
1650.7430220458232,1280.656067713728
1653.283182602867,1279.3000719177112
1657.4639546787535,1277.1646198832732
1660.8488647200375,1275.5374582112547
1664.2561033788872,1273.9574173561655
1667.755816107473,1272.3356597680163
